StartTime,EndTime,Steps,Calories,Distance(meters),ActiveTime(seconds)
2022-08-13 08:00:00,2022-08-13 08:14:59,802,32,569,660
2022-08-13 08:15:00,2022-08-13 08:29:59,618,29,438,600
2022-08-13 08:30:00,2022-08-13 08:44:59,1036,41,735,720
2022-08-13 08:45:00,2022-08-13 08:59:59,758,32,537,600
2022-08-13 09:00:00,2022-08-13 09:14:59,729,32,517,480
2022-08-13 09:15:00,2022-08-13 09:29:59,459,21,325,360
2022-08-13 09:30:00,2022-08-13 09:44:59,57,3,40,60
2022-08-13 10:15:00,2022-08-13 10:29:59,190,7,134,120
2022-08-13 10:30:00,2022-08-13 10:44:59,590,22,418,420
2022-08-13 17:15:00,2022-08-13 17:29:59,456,17,323,300
2022-08-13 17:30:00,2022-08-13 17:44:59,187,7,132,120
2022-08-13 17:45:00,2022-08-13 17:59:59,153,7,108,120
2022-08-13 19:00:00,2022-08-13 19:14:59,270,10,191,180
2022-08-13 19:15:00,2022-08-13 19:29:59,205,7,145,180
2022-08-13 19:30:00,2022-08-13 19:44:59,652,26,462,480
2022-08-13 21:00:00,2022-08-13 21:14:59,143,7,101,60
2022-08-14 08:30:00,2022-08-14 08:44:59,134,7,95,60
2022-08-14 08:45:00,2022-08-14 08:59:59,73,3,51,60
2022-08-15 10:30:00,2022-08-15 10:44:59,168,9,119,120
2022-08-15 12:30:00,2022-08-15 12:44:59,73,3,51,60
2022-08-15 18:45:00,2022-08-15 18:59:59,430,18,305,240
2022-08-15 19:00:00,2022-08-15 19:14:59,804,30,570,600
2022-08-15 19:15:00,2022-08-15 19:29:59,1472,53,1044,900
2022-08-15 19:30:00,2022-08-15 19:44:59,488,20,346,300
2022-08-15 20:00:00,2022-08-15 20:14:59,165,8,117,120
2022-08-16 20:00:00,2022-08-16 20:14:59,438,16,310,300
2022-08-16 20:15:00,2022-08-16 20:29:59,427,16,302,300
2022-08-16 21:00:00,2022-08-16 21:14:59,163,8,115,60
2022-08-16 21:15:00,2022-08-16 21:29:59,14,1,9,60
2022-08-16 22:00:00,2022-08-16 22:14:59,137,7,97,60
2022-08-17 01:30:00,2022-08-17 01:44:59,75,3,53,60
2022-08-17 07:15:00,2022-08-17 07:29:59,76,3,53,60
2022-08-17 08:15:00,2022-08-17 08:29:59,88,4,62,60
2022-08-17 08:45:00,2022-08-17 08:59:59,27,2,19,60
2022-08-17 11:15:00,2022-08-17 11:29:59,172,8,122,180
2022-08-17 11:30:00,2022-08-17 11:44:59,12,1,8,60
2022-08-17 13:30:00,2022-08-17 13:44:59,189,8,134,60
2022-08-17 14:00:00,2022-08-17 14:14:59,559,20,396,360
2022-08-17 14:15:00,2022-08-17 14:29:59,646,24,458,360
2022-08-17 14:30:00,2022-08-17 14:44:59,675,26,478,420
2022-08-17 15:00:00,2022-08-17 15:14:59,470,17,333,360
2022-08-17 15:15:00,2022-08-17 15:29:59,129,5,91,120
2022-08-17 18:00:00,2022-08-17 18:14:59,89,4,63,60
2022-08-17 20:00:00,2022-08-17 20:14:59,196,10,139,180
2022-08-17 20:30:00,2022-08-17 20:44:59,1,0,0,60
2022-08-17 21:15:00,2022-08-17 21:29:59,228,11,161,240
2022-08-18 05:45:00,2022-08-18 05:59:59,90,4,63,60
2022-08-18 08:45:00,2022-08-18 08:59:59,102,4,72,60
2022-08-18 19:30:00,2022-08-18 19:44:59,95,4,67,60
2022-08-18 23:15:00,2022-08-18 23:29:59,76,3,53,60
2022-08-19 08:45:00,2022-08-19 08:59:59,86,4,61,60
2022-08-19 11:45:00,2022-08-19 11:59:59,112,6,79,60
2022-08-19 12:15:00,2022-08-19 12:29:59,336,13,238,180
